club_name,drawn,ga,gd,gf,lost,player,points,position,won
Liverpool,1,20," 
        +44

 ",64,1,28,79,1,26
Manchester City,3,29," 
        +39

 ",68,6,27,57,2,18
Leicester City,5,28," 
        +26

 ",54,8,28,50,3,15
Chelsea,6,39," 
        +8

 ",47,9,28,45,4,13
Manchester United,9,30," 
        +12

 ",42,8,28,42,5,11
Wolverhampton Wanderers,12,34," 
        +7

 ",41,6,28,42,6,10
Tottenham Hotspur,7,39," 
        +7

 ",46,10,28,40,7,11
Sheffield United,10,25," 
        +4

 ",29,7,27,40,8,10
Burnley,5,39," 
        -6

 ",33,12,28,38,9,11
Arsenal,13,36," 
        +3

 ",39,6,27,37,10,8
Everton,7,42," 
        -5

 ",37,11,28,37,11,10
Crystal Palace,9,32," 
        -7

 ",25,10,28,36,12,9
Southampton,4,51," 
        -16

 ",35,14,28,34,13,10
Newcastle United,8,41," 
        -17

 ",24,12,28,32,14,8
Brighton and Hove Albion,10,40," 
        -8

 ",32,12,28,28,15,6
West Ham United,6,49," 
        -14

 ",35,15,28,27,16,7
Watford,9,43," 
        -16

 ",27,13,28,27,17,6
Bournemouth,6,45," 
        -17

 ",28,15,28,27,18,7
Aston Villa,4,52," 
        -18

 ",34,16,27,25,19,7
Norwich City,6,51," 
        -26

 ",25,17,28,21,20,5
