business,company_name,deadline,keyword,link,location,position,salary_condition
"기업용 인공지능 일정관리 비서 서비스, 코노(Kono)",코노랩스,수시채용,"Java, Python, Node.js, jQuery, Amazon AWS, Back-end, 풀스택개발, 서버관리",https://www.rocketpunch.com/jobs/65886/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,서울특별시 서초구,백엔드 개발자,경력
인공지능 기반 사고 예측 외부 에어백 제품 'Air Guard'를 개발 중인 제이온가드 입니다.,제이온가드,수시채용,"Python, 딥러닝, 머신러닝, 인공지능, 기계학습, 영상처리 소프트웨어 알고리즘, 영어, 중국어",https://www.rocketpunch.com/jobs/66217/%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90-%ED%8C%80%EC%9E%A5%EA%B8%89,원격근무 가능,소프트웨어 개발자 (팀장급),"0.1% - 2.0% / 인턴, 신입, 경력"
기업데이터 분석기반 전략컨설팅사 입니다.,데이터크런치,수시채용,"MySQL, Python, SQL, 빅데이터, 빅데이터 분석/인프라/가시화, 빅데이터 엔지니어, 빅데이터 마이닝, 데이터분석, 데이터, 데이터베이스, Big Data, Data Science, 데이터사이언스, 데이터마이닝, 머신러닝, 인공지능, 딥러닝, 기계학습, Datamining, deep-learning, R데이터분석, jupyter, jupyter notebook, R shiny, 마케팅분석, Marketing Analysis, scm, 통계학, R 통계, SAS, 영어",https://www.rocketpunch.com/jobs/49636/Data-Analyst-Data-Scientist,서울특별시 강남구,Data Analyst / Data Scientist,"5,000 - 15,000만원 / 경력"
"즐거운경험 0.8L(공팔리터) - 즐거운 경험, 리뷰를 즐기세요.",공팔리터,03.31 마감,"Python, Java, MySQL, AWS Data Pipeline",https://www.rocketpunch.com/jobs/70473/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%B1%84%EC%9A%A9,서울특별시 강남구,데이터 엔지니어 채용,"3,000 - 6,000만원 / 경력"
"즐거운경험 0.8L(공팔리터) - 즐거운 경험, 리뷰를 즐기세요.",공팔리터,03.22 마감,"개발 , Java, SQL, Python, MySQL, 백엔드개발자, 개발자, 한국어",https://www.rocketpunch.com/jobs/70826/%EB%B0%B1%EC%97%94%EB%93%9C%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%B1%84%EC%9A%A9,서울특별시 강남구,백엔드개발자 채용,"3,000 - 8,000만원 / 1.0% - 5.0% / 경력"
산업IoT 및 빅데이터 기반 스마트팩토리를 개발합니다. H/W와 S/W 융합 플랫폼을 함께 만들어 보아요 :),울랄라랩,03.19 마감,"백엔드개발자, 서버개발자, Back-end, 스마트팩토리, Linux, PHP, MySQL, Python, InfluxDB, cloud, Java",https://www.rocketpunch.com/jobs/69735/%EC%9A%B8%EB%9E%84%EB%9D%BC%EB%9E%A9-%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8C%A9%ED%86%A0%EB%A6%AC-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90%EB%A5%BC-%EA%B8%B0%EB%8B%A4%EB%A6%BD%EB%8B%88%EB%8B%A4%EA%B2%BD%EB%A0%A5-2%EB%85%84%EC%9D%B4%EC%83%81,경기도 안양시,[울랄라랩] 스마트팩토리 백엔드 개발자를 기다립니다.(경력 2년이상),"4,000 - 8,000만원 / 0.3% - 0.5% / 경력"
Intelligence Farming Company,(주)에이모,03.31 마감,"TensorFlow, Python, keras, PyTorch, Machine Learning , DeepLearning, computer-vision",https://www.rocketpunch.com/jobs/26953/Machine-Learning-Deep-Learning-Engineer-ResearcherComputer-Vision,경기도 성남시,"Machine Learning, Deep Learning Engineer & Researcher(Computer Vision)","신입, 경력"
딥러닝 기술을 이용한 이미지 & 로그 데이터 분석,아이덴티파이,03.31 마감,"Python, NumPy, Pandas, matplotlib, TensorFlow, scikit-learn, machine-learning, PyTorch, Machine Learning , 딥러닝, 머신러닝",https://www.rocketpunch.com/jobs/69287/%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,경기도 성남시,머신러닝 엔지니어,"5,000 - 6,000만원 / 0.5% - 1.0% / 신입, 경력"
Intelligence Farming Company,(주)에이모,03.31 마감,"Elasticsearch, Redis, Python, angular, Flask, Kubernetes, google-cloud-platform, Jenkins, SQLAlchemy, MongoDB, Docker",https://www.rocketpunch.com/jobs/46515/Backend-Software-Engineer,경기도 성남시,Backend Software Engineer,경력
딥러닝 기술을 이용한 이미지 & 로그 데이터 분석,아이덴티파이,03.31 마감,"jQuery, AngularJS, JavaScript, CSS3, Node.js, Ajax, Front-end, React, GitHub, Git, Python, Back-end, MongoDB, Django",https://www.rocketpunch.com/jobs/69282/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%86%94%EB%A3%A8%EC%85%98-%ED%94%8C%EB%9E%AB%ED%8F%BC-%EA%B0%9C%EB%B0%9C-SW-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,경기도 성남시,인공지능 솔루션 플랫폼 개발 SW 엔지니어,"4,000 - 5,200만원 / 0.5% - 1.0% / 신입, 경력"
